frame_number,timestamp,bbox_center_x,bbox_center_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,shoulder_center_x,shoulder_center_y,bbox_width,bbox_height,hip_available
1250,52.06333333333334,757.0,512.0,750.3454971313477,517.0369863510132,766.9631195068359,518.8717031478882,0.9993821382522583,733.7278747558594,515.2022695541382,0.9994333386421204,759.007682800293,446.60447359085083,144,252,True
1260,52.480000000000004,760.0,512.0,751.4321136474609,512.4260544776917,767.2900390625,514.6724796295166,0.9994351267814636,735.5741882324219,510.1796293258667,0.9994683265686035,760.3873443603516,442.5341248512268,140,252,True
1270,52.89666666666667,766.5,507.5,753.4243774414062,507.2514510154724,768.5182189941406,509.65601921081543,0.9994808435440063,738.3305358886719,504.8468828201294,0.9994933009147644,763.2104873657227,438.88705015182495,135,247,True
1280,53.31333333333334,768.0,506.0,753.9929962158203,504.589262008667,769.0834045410156,507.07659244537354,0.9995218515396118,738.902587890625,502.10193157196045,0.9995023608207703,764.7118759155273,437.5923156738281,136,246,True
1290,53.730000000000004,764.5,504.0,753.4893798828125,504.3207836151123,768.7631988525391,506.6046953201294,0.9995590448379517,738.2155609130859,502.0368719100952,0.9995316863059998,764.2720794677734,439.13211822509766,139,242,True
1300,54.14833333333333,761.5,503.5,753.4579849243164,504.06646728515625,768.8190460205078,505.98607063293457,0.9995911121368408,738.096923828125,502.14686393737793,0.9995577335357666,763.8981246948242,439.784152507782,139,241,True
1310,54.565000000000005,762.5,498.0,755.3857421875,500.9842872619629,770.9703063964844,503.10112953186035,0.9996205568313599,739.8011779785156,498.86744499206543,0.9995776414871216,765.9096527099609,436.4820098876953,137,236,True
1320,54.98166666666667,770.5,493.5,761.3230133056641,498.04628133773804,776.0303497314453,499.44796085357666,0.9996344447135925,746.6156768798828,496.6446018218994,0.9995574951171875,769.1974258422852,432.23034381866455,129,229,True
1330,55.39833333333333,773.0,486.5,765.4238891601562,493.3011317253113,779.9089813232422,494.4493103027344,0.9996393322944641,750.9387969970703,492.1529531478882,0.9995336532592773,771.4841842651367,429.49148654937744,130,219,True
1340,55.815000000000005,775.0,486.5,766.7268753051758,491.4648485183716,781.1183929443359,492.5260591506958,0.9996588230133057,752.3353576660156,490.40363788604736,0.9995371103286743,772.1020126342773,428.02727937698364,130,219,True
1350,56.23166666666667,775.0,484.0,766.6297149658203,490.4081439971924,781.0383605957031,491.7417812347412,0.9996839761734009,752.2210693359375,489.07450675964355,0.99955815076828,772.2559356689453,427.5434947013855,132,216,True
1360,56.64833333333333,775.5,483.0,766.9171142578125,489.5555877685547,781.2770080566406,490.97758769989014,0.9997076988220215,752.5572204589844,488.13358783721924,0.9995825886726379,772.3833847045898,427.4696373939514,131,216,True
1370,57.065000000000005,775.5,483.5,767.1791076660156,489.62682723999023,781.2952423095703,490.9585762023926,0.9997283816337585,753.0629730224609,488.2950782775879,0.9996057152748108,773.0356979370117,427.4817395210266,131,217,True
1380,57.48166666666667,775.5,484.5,767.9803085327148,489.28603649139404,781.9739532470703,490.48547744750977,0.9997480511665344,753.9866638183594,488.0865955352783,0.9996321797370911,773.023796081543,427.3858451843262,131,217,True
1390,57.89833333333334,774.0,484.5,768.1739807128906,489.61968183517456,782.2140502929688,490.48487663269043,0.9997658133506775,754.1339111328125,488.7544870376587,0.99965900182724,772.8519058227539,427.887761592865,128,217,True
1400,58.31666666666667,773.5,486.0,770.5587768554688,490.2962851524353,784.8262023925781,490.6594133377075,0.9997790455818176,756.2913513183594,489.9331569671631,0.9996750950813293,772.4385452270508,428.5186171531677,129,220,True
